"Pay with KEKS Pay","Plati KEKS Payom"
"Fastest and free of charge via the KEKS Pay application!","Najbrže i bez naknada putem KEKS Pay aplikacije!"
"Pay anyone with your phone","Plaćajte putem svog mobilnog telefona"
"Please scan the QR code with KEKS Pay application","Molimo skenirajte ovaj QR kod sa KEKS Pay aplikacijom"
"Please authorize the payment in the KEKS Pay application ... ","Molimo autorizirajte plaćanje u KEKS Pay aplikaciji"
"Do not close this browser window","Ne zatvarajte ovaj prozor vašeg internet preglednika"
"Waiting for payment authorization ... ","Čekanje autorizacije plaćanja ... "
"Payment authorization successful, finalizing ... ","Autorizacija plaćanja je završila uspješno, finalizacija u toku ... "
"Payment authorization aborted or expired","Autorizacija plaćanja nije bilo uspješna ili je istekla"
"Open KEKS Pay","Otvori KEKS Pay"
"Click the icon","Pritisni ikonicu"
"Select \'Scan QR code\'","Odaberi \'Skeniraj QR kôd\'"
"Scan the QR code","Skeniraj QR kôd"
"Click","Pritisni"
"icon","ikonicu"
"Cancel","Otkaži"
"The name of the web store that is displayed to the user on the payment screen in the KEKS Pay application.","Naziv web trgovine koji se korisniku prikazuje na ekranu za plaćanje u KEKS Pay aplikaciji."
"Web Store Name", "Naziv Web Trgovine"
"Order %1 not found","Narudžba %1 nije pronađena"
"Payment Failed", "Plaćanje neuspjelo"
"Payment Failed.", "Plaćanje neuspjelo."
